date,text,href
2018.02.07 ,"
李克强主持召开国务院常务会议听取办理全国人大代表建议和政协委员提案情况汇报 推进依法科学民主决策提升政府工作水平部署进一步采取市场化债转股等措施降低企业杠杆率 促进风险防控提高发展质量通过《快递暂行条例(草案)》
2018.02.07 
",http://www.gov.cn/guowuyuan/gwycwhy/20180207c03/index.htm
2018.01.17 ,"
李克强主持召开国务院常务会议决定扩大“证照分离”改革试点事项探索形成可复制经验 进一步改善营商环境确定进一步支持返乡下乡创业的措施 激活农村资源要素促进乡村振兴
2018.01.17 
",http://www.gov.cn/guowuyuan/gwycwhy/20180117c02/index.htm
2018.01.03 ,"
李克强主持召开国务院常务会议部署进一步优化营商环境 持续激发市场活力和社会创造力确定加大支持基础科学研究的措施 提升原始创新能力
2018.01.03 
",http://www.gov.cn/guowuyuan/gwycwhy/20180103c01/index.htm
2017.12.13 ,"
李克强主持召开国务院常务会议听取国企改革发展和监事会对央企监督检查情况汇报 发挥国资对经济高质量发展的支撑作用确定进一步扶持和培育新型农业经营主体的措施 推动现代农业发展听取第三次全国农业普查情况汇报
2017.12.13 
",http://www.gov.cn/guowuyuan/gwycwhy/20171213c34/index.htm
2017.12.06 ,"
李克强主持召开国务院常务会议部署加快推进政务信息系统整合共享 以高效便捷的政务服务增进群众获得感确定推进公共资源配置领域政府信息公开的措施 推动规范化透明化批准2017年度国家科学技术奖励评审结果
2017.12.06 
",http://www.gov.cn/guowuyuan/gwycwhy/20171206c33/index.htm
2017.11.22 ,"
李克强主持召开国务院常务会议听取依法保护产权工作汇报 以更有效的制度促进各类市场主体立恒心增信心决定进一步清理规范涉企经营服务性收费 持续为企业减轻负担
2017.11.22 
",http://www.gov.cn/guowuyuan/gwycwhy/20171122c33/index.htm
2017.10.30 ,"
李克强主持召开国务院常务会议通过《深化“互联网+先进制造业”发展工业互联网的指导意见》 促进实体经济振兴加快转型升级通过《国务院关于废止〈中华人民共和国营业税暂行条例〉和修改〈中华人民共和国增值税暂行条例〉的决定(草案)》
2017.10.30 
",http://www.gov.cn/guowuyuan/gwycwhy/20171030c31/index.htm
2017.10.09 ,"
李克强主持召开国务院常务会议听取公立医院综合改革和医疗联合体建设进展情况汇报 要求通过深化医改优化资源配置保障人民健康部署进一步做好基本医保全国联网和异地就医直接结算工作 减少群众后顾之忧更多惠及人民
2017.10.09 
",http://www.gov.cn/guowuyuan/gwycwhy/20171009c30/index.htm
2017.09.27 ,"
李克强主持召开国务院常务会议听取推进中央企业重组整合工作汇报 以改革促进结构优化效益提升部署强化对小微企业的政策支持和金融服务 进一步增强经济活力巩固发展基础
2017.09.27 
",http://www.gov.cn/guowuyuan/gwycwhy/20170927c29/index.htm
2017.09.20 ,"
李克强主持召开国务院常务会议部署进一步促进扩大就业 更好满足人民群众劳动有岗位收入有来源的需求确定深入推进跨境电子商务综合试验区建设的措施 加快业态创新提高外贸便利度和竞争力
2017.09.20 
",http://www.gov.cn/guowuyuan/gwycwhy/20170920c28/index.htm
2017.09.13 ,"
李克强主持召开国务院常务会议听取国务院第四次大督查情况和重点政策措施落实第三方评估汇报持续狠抓重大决策部署落实促进经济发展和民生改善取得更大成效
2017.09.13 
",http://www.gov.cn/guowuyuan/gwycwhy/20170913c27/index.htm
2017.09.06 ,"
李克强主持召开国务院常务会议部署在更大范围推进“证照分离”改革试点并再取消一批行政许可事项 使营商环境更加公平公正确定推进质量认证体系建设的措施 加强事中事后监管提升中国制造品质
2017.09.06 
",http://www.gov.cn/guowuyuan/gwycwhy/20170906c26/index.htm
2017.08.30 ,"
李克强主持召开国务院常务会议决定推广一批具备复制条件的支持创新改革举措 为创新发展营造更好环境确定促进健康服务业发展的措施 满足群众需求提高健康水平
2017.08.30 
",http://www.gov.cn/guowuyuan/gwycwhy/20170830c25/index.htm
2017.08.23 ,"
李克强主持召开国务院常务会议部署推进央企深化改革降低杠杆工作 促进企业提质增效听取股权期权和分红等激励政策落实与科研项目及经费管理制度改革进展情况汇报 推动增强创新发展动力
2017.08.23 
",http://www.gov.cn/guowuyuan/gwycwhy/20170823c24/index.htm
2017.08.18 ,"
李克强主持召开国务院常务会议听取全面推开营改增试点一年多来情况汇报 要求巩固扩大改革成果促进经济结构优化升级审议通过《机关团体建设楼堂馆所管理条例(草案)》 使公共资金资源更多用于发展经济改善民生
2017.08.18 
",http://www.gov.cn/guowuyuan/gwycwhy/20170818c23/index.htm
2017.07.28 ,"
李克强主持召开国务院常务会议部署加大引进外资力度 营造更高水平对外开放的环境确定进一步激发民间有效投资活力措施 促进经济持续健康发展部署积极稳妥化解累积的地方政府债务风险 坚决遏制隐性债务增量听取建立实施行政事业性收费和政府性基金目录清单工作汇报 推动从源头上清费减负
2017.07.28 
",http://www.gov.cn/guowuyuan/gwycwhy/20170728c22/
2017.07.19 ,"
李克强主持召开国务院常务会议部署创建“中国制造2025”国家级示范区 加快制造业转型升级确定防控义务教育学生失学辍学的措施 确保实现“十三五”义务教育巩固率目标部署深入实施临时救助制度 以更有效的救急救难保障困难群众基本生活
2017.07.19 
",http://www.gov.cn/guowuyuan/gwycwhy/20170719c21/
2017.07.12 ,"
李克强主持召开国务院常务会议讨论通过《关于强化实施创新驱动发展战略进一步推进大众创业万众创新深入发展的意见》决定将《快递条例(草案)》向社会公开征求意见
2017.07.12 
",http://www.gov.cn/guowuyuan/gwycwhy/20170712c20/index.htm
2017.07.05 ,"
李克强主持召开国务院常务会议部署整改审计查出的预算执行等问题 推动国家重大政策措施落地见效听取投融资体制改革进展汇报 要求发挥社会资本作用促进有效投资确定进一步降低物流成本的措施 持续为企业减负助力经济升级
2017.07.05 
",http://www.gov.cn/guowuyuan/gwycwhy/20170705c19/index.htm
2017.06.21 ,"
李克强主持召开国务院常务会议部署促进分享经济健康发展 推动创业创新便利群众生产生活确定加快发展商业养老保险的措施 完善社会保障体系助力老有所养通过《融资担保公司管理条例(草案)》和《国务院关于修改〈建设项目环境保护管理条例〉的决定(草案)》
2017.06.21 
",http://www.gov.cn/guowuyuan/gwycwhy/20170621c18/index.htm
2017.06.14 ,"
李克强主持召开国务院常务会议确定取消和下放一批工业产品生产许可简化审批程序 促进制造业创新和提质决定在部分省(区)建设绿色金融改革创新试验区 推动经济绿色转型升级
2017.06.14 
",http://www.gov.cn/guowuyuan/gwycwhy/20170614c17/index.htm
2017.06.07 ,"
李克强主持召开国务院常务会议决定推出新的降费措施 要求兑现全年为企业减负万亿元的承诺部署新建一批大众创业万众创新示范基地 推动体制机制创新和经济转型升级通过《志愿服务条例(草案)》
2017.06.07 
",http://www.gov.cn/guowuyuan/gwycwhy/20170607c16/index.htm
2017.05.24 ,"
李克强主持召开国务院常务会议决定设立国家职业资格目录 降低就业创业门槛提升职业水平部署深入推进全国通关一体化 打造更加开放便利的营商环境听取棚户区改造工作汇报 确定后三年棚改目标任务
2017.05.24 
",http://www.gov.cn/guowuyuan/gwycwhy/20170524c15/index.htm
2017.05.17 ,"
李克强主持召开国务院常务会议确定进一步减少涉企经营服务性收费和降低物流用能成本 为企业减负助力部署以试点示范推进《中国制造2025》深入实施 促进制造业转型升级
2017.05.17 
",http://www.gov.cn/guowuyuan/gwycwhy/20170517c14/index.htm
2017.05.10 ,"
李克强主持召开国务院常务会议通过《兴边富民行动“十三五”规划》 促进边疆繁荣稳定和各族群众生活改善听取去产能工作进展和重点行业淘汰落后产能督查情况汇报 推动经济结构优化部署扩大和升级信息消费 释放内需潜力培育发展新动能
2017.05.10 
",http://www.gov.cn/guowuyuan/gwycwhy/20170510c13/index.htm
2017.05.03 ,"
李克强主持召开国务院常务会议决定提高中央财政自然灾害生活补助标准 加快因灾倒损民房恢复重建确定支持社会办医和健康旅游发展的措施 满足群众多层次多样化健康需求部署推动大中型商业银行设立普惠金融事业部 聚焦小微企业和“三农”等提升服务能力
2017.05.03 
",http://www.gov.cn/guowuyuan/gwycwhy/20170503c12/
2017.04.26 ,"
李克强主持召开国务院常务会议确定进一步推进“多证合一”和削减工商登记前置审批 持续降低制度性交易成本激发市场活力部署对大气重污染成因和治理开展集中攻关 以生态改善提高人民生活质量决定在粮食主产省开展提高农业大灾保险保障水平试点 助力现代农业发展和农民增收
2017.04.26 
",http://www.gov.cn/guowuyuan/gwycwhy/20170426c11/index.htm#
2017.04.19 ,"
李克强主持召开国务院常务会议决定推出进一步减税措施 持续推动实体经济降成本增后劲通过《中华人民共和国公共图书馆法(草案)》
2017.04.19 
",http://www.gov.cn/guowuyuan/gwycwhy/20170419c10/index.htm
2017.04.12 ,"
李克强主持召开国务院常务会议部署推进医疗联合体建设 以深化体制机制改革为群众提供优质便利医疗服务部署加强中小学幼儿园安全风险防控体系建设 打造平安校园通过《中华人民共和国统计法实施条例(草案)》
2017.04.12 
",http://www.gov.cn/guowuyuan/gwycwhy/20170412c09/index.htm
2017.04.05 ,"
李克强主持召开国务院常务会议部署落实2017年经济体制改革重点任务 依靠改革破难题促发展惠民生确定当前和今后一段时期促进就业创业的政策措施 坚决打好稳定和扩大就业的硬仗
2017.04.05 
",http://www.gov.cn/guowuyuan/gwycwhy/20170405c08/index.htm
2017.03.17 ,"
李克强主持召开国务院常务会议确定《政府工作报告》责任分工 部署落实全年工作
2017.03.17 
",http://www.gov.cn/guowuyuan/gwycwhy/20170317c07/index.htm
2017.02.22 ,"
李克强主持召开国务院常务会议专题听取一年来脱贫攻坚情况汇报 要求扎实做好今年脱贫重点工作听取H7N9疫情防控情况汇报 切实保障群众健康安全部署放宽社会领域投资管理 更好激活力补短板惠民生要求进一步加大网络提速降费力度 降低创业创新成本促进产业升级通过《中华人民共和国标准化法(修订草案)》
2017.02.22 
",http://www.gov.cn/guowuyuan/gwycwhy/20170222c06/index.htm
2017.02.08 ,"
李克强主持召开国务院常务会议决定进一步清理和规范涉企收费 持续为实体经济减负部署深化建筑业“放管服”改革 推动产业升级发展确定加强高标准农田建设的政策措施 夯实粮食安全和现代农业基础通过《农药管理条例(修订草案)》
2017.02.08 
",http://www.gov.cn/guowuyuan/gwycwhy/20170208c05/
2017.02.03 ,"
李克强主持召开国务院常务会议听取办理人大代表建议和政协委员提案情况汇报 更好接受监督推进科学决策部署建立解决农民工工资拖欠的长效机制 切实维护农民工合法权益通过“十三五”国家食品和药品安全规划 有效保障人民健康福祉
2017.02.03 
",http://www.gov.cn/guowuyuan/gwycwhy/20170203c04/index.htm
2017.01.18 ,"
李克强主持召开国务院常务会议通过“十三五”促进就业规划 推动稳定和扩大就业打造高素质劳动者队伍部署进一步做好困难群众生活保障工作 兜住基本民生底线
2017.01.18 
",http://www.gov.cn/guowuyuan/gwycwhy/20170118c03/index.htm
2017.01.11 ,"
李克强主持召开国务院常务会议确定规范发展区域性股权市场的政策措施 拓宽中小微企业融资渠道通过城管执法统一制式服装和标志标识管理办法 推进规范文明执法提升城市管理水平通过《残疾人教育条例(修订草案)》及《残疾预防和残疾人康复条例(草案)》
2017.01.11 
",http://www.gov.cn/guowuyuan/gwycwhy/20170111c02/index.htm
2017.01.04 ,"
李克强主持召开国务院常务会议决定再取消一批中央指定地方实施的行政许可并清理规范一批行政审批中介服务事项审议通过“十三五”市场监管规划 推动营造公平法治便捷透明的市场环境部署创新政府管理优化政府服务 加快新旧动能接续转换
2017.01.04 
",http://www.gov.cn/guowuyuan/gwycwhy/20170104C01/index.htm
2016.12.28 ,"
李克强主持召开国务院常务会议通过国家教育事业发展“十三五”规划 推进教育现代化为国家建设提供人才支撑确定扩大对外开放积极利用外资的政策措施 营造更加公平便利的市场环境
2016.12.28 
",http://www.gov.cn/guowuyuan/gwycwhy/20161228C39/
2016.12.21 ,"
李克强主持召开国务院常务会议通过“十三五”卫生与健康规划 部署今后五年深化医药卫生体制改革工作确定加快灾后水利薄弱环节和城市排水防涝能力“补短板”建设 促进民生改善和生态修复批准2016年度国家科学技术奖励评审结果
2016.12.21 
",http://www.gov.cn/guowuyuan/gwycwhy/20161221C38/
2016.12.07 ,"
李克强主持召开国务院常务会议审议通过促进中部地区崛起规划 推动区域协调发展培育新的增长极通过国家信息化和科技重大专项“十三五”重点规划 推进经济结构升级通过《中华人民共和国水污染防治法修正案(草案)》
2016.12.07 
",http://www.gov.cn/guowuyuan/gwycwhy/20161207C37/
2016.11.29 ,"
李克强主持召开国务院常务会议听取全面推开营改增试点减轻税负情况汇报 决定实行增值税定额返还以保障地方既有财力听取中央企业监督检查情况汇报 强化外部监督促进国资经营提质增效
2016.11.29 
",http://www.gov.cn/guowuyuan/gwycwhy/20161130C36/index.htm
2016.11.23 ,"
李克强主持召开国务院常务会议听取今年钢煤行业去产能工作基本完成任务情况汇报 决定派出国务院调查组严查个别企业违法违规行为决定再取消一批职业资格许可和认定事项 更加便利就业创业通过《中华人民共和国反不正当竞争法(修订草案)》 推动完善事中事后监管
2016.11.23 
",http://www.gov.cn/guowuyuan/gwycwhy/20161123C35/index.htm
2016.11.15 ,"
李克强主持召开国务院常务会议通过《全国“十三五”脱贫攻坚规划》 确保农村贫困人口同步进入全面小康确定推进教育脱贫的政策措施 帮助群众依靠知识技能摆脱贫困部署“十三五”生态环境保护工作 推动绿色发展改善人民生活
2016.11.15 
",http://www.gov.cn/guowuyuan/gwycwhy/20161116C34/
2016.10.31 ,"
李克强主持召开国务院常务会议听取国务院第三次大督查情况汇报 推动改革发展和民生改善政策措施切实落地见效确定全面推进政务公开相关实施细则 促进政府施政更加透明高效
2016.10.31 
",http://www.gov.cn/guowuyuan/gwycwhy/20161031C33/index.htm
2016.10.14 ,"
李克强主持召开国务院常务会议确定进一步扩大国内消费的政策措施 促进服务业发展和经济转型升级部署持续深化商事制度改革 更大降低创业创新制度性成本
2016.10.14 
",http://www.gov.cn/guowuyuan/gwycwhy/20161014C32/
2016.10.08 ,"
李克强主持召开国务院常务会议确定进一步精简政府核准的投资项目 以深化改革更大释放市场活力决定简化外资企业等审批管理 营造扩大开放的更好环境通过《全国农业现代化规划》 促进农业升级农村发展农民增收
2016.10.08 
",http://www.gov.cn/guowuyuan/gwycwhy/20161008C31/
2016.09.14 ,"
李克强主持召开国务院常务会议部署加快推进“互联网+政务服务”以深化政府自身改革更大程度利企便民决定大力发展装配式建筑 推动产业结构调整升级
2016.09.14 
",http://www.gov.cn/guowuyuan/gwycwhy/20160914C30/
2016.09.05 ,"
李克强主持召开国务院常务会议部署在关键领域和薄弱环节加大补短板工作力度依靠改革开放推动发展升级和民生改善
2016.09.05 
",http://www.gov.cn/guowuyuan/gwycwhy/20160905C29/
2016.09.01 ,"
李克强主持召开国务院常务会议确定促进创业投资发展的政策措施 释放社会投资潜力助力实体经济部署建设北京全国科技创新中心 加快推进创新型国家建设通过《中华人民共和国无线电管理条例(修订草案)》
2016.09.01 
",http://www.gov.cn/guowuyuan/gwycwhy/20160901C28/index.htm
2016.08.24 ,"
李克强主持召开国务院常务会议部署促进消费品标准和质量提升 增加“中国制造”有效供给满足消费升级需求
2016.08.24 
",http://www.gov.cn/guowuyuan/gwycwhy/20160824C27/index.htm
2016.08.16 ,"
李克强主持召开国务院常务会议部署对钢铁煤炭行业化解过剩产能开展专项督查 确保完成既定目标任务听取促进外贸增长政策落实情况汇报 推动进出口回稳向好决定免除普通高中建档立卡家庭经济困难学生学杂费 推进扶贫攻坚确定完善社会救助和保障标准与物价上涨挂钩联动机制 更好保障困难群众基本生活
2016.08.16 
",http://www.gov.cn/guowuyuan/gwycwhy/20160816C26/index.htm
2016.07.27 ,"
李克强主持召开国务院常务会议听取关于地方和部门推进重大项目落地审计情况汇报 完善奖惩机制部署建立法治化市场化去产能机制 推动产业升级确定有针对性加强小微企业金融服务的措施 缓解融资难融资贵听取金融业营改增税负情况汇报 确保只减不增通过《中华人民共和国测绘法(修订草案)》
2016.07.27 
",http://www.gov.cn/guowuyuan/gwycwhy/20160727C25/index.htm
2016.07.20 ,"
李克强主持召开国务院常务会议通过“十三五”国家科技创新专项规划 以创新型国家建设引领和支撑升级发展部署推进互联网+物流 降低企业成本便利群众生活通过《国务院及其各部门任命的国家工作人员宪法宣誓组织办法》
2016.07.20 
",http://www.gov.cn/guowuyuan/gwycwhy/20160720C24/
2016.07.07 ,"
李克强主持召开国务院常务会议部署各地各部门整改审计查出的问题 通过改革完善制度提高公共资金绩效听取政府和社会资本合作模式推广情况汇报 推动更有效激发社会投资活力
2016.07.07 
",http://www.gov.cn/guowuyuan/gwycwhy/20160707C23/
2016.06.29 ,"
李克强主持召开国务院常务会议部署促进川陕革命老区振兴发展 推动老区加快致富全面奔小康原则通过《中长期铁路网规划》 以交通大动脉建设支撑经济社会升级发展
2016.06.29 
",http://www.gov.cn/guowuyuan/gwycwhy/20160629C22/index.htm
2016.06.22 ,"
李克强主持召开国务院常务会议听取民间投资政策落实专项督查工作汇报 要求以不断深化改革调动民间投资积极性
2016.06.22 
",http://www.gov.cn/guowuyuan/gwycwhy/20160621C21/
2016.06.15 ,"
李克强主持召开国务院常务会议决定宣布失效一批与现行法律法规不一致不利于办事创业不适应经济社会发展需要的政策性文件部署清理规范工程建设领域保证金 降低企业成本营造公平竞争环境
2016.06.15 
",http://www.gov.cn/guowuyuan/gwycwhy/20160615C20/index.htm
2016.06.08 ,"
李克强主持召开国务院常务会议部署实施健康扶贫工程 提升农村贫困人口医疗保障和健康水平确定发展和规范健康医疗大数据应用的措施 通过互联网+医疗更好满足群众需求决定建设福厦泉与合芜蚌两个国家自主创新示范区 引领带动体制创新和科技创新
2016.06.08 
",http://www.gov.cn/guowuyuan/gwycwhy/20160608C19/index.htm
2016.06.01 ,"
李克强主持召开国务院常务会议部署加强困境儿童保障工作 对他们的成长给予更多关爱帮助确定完善中央财政科研项目资金管理的措施 更大激发科研人员创新创造活力决定再取消一批职业资格许可和认定事项 持续降低就业创业门槛
2016.06.01 
",http://www.gov.cn/guowuyuan/gwycwhy/20160601C18/
2016.05.18 ,"
李克强主持召开国务院常务会议确定持续推进商事制度改革的措施 营造有利创业创新的市场环境部署推动中央企业“瘦身健体”提质增效 以促改革调结构增强企业竞争力
2016.05.18 
",http://www.gov.cn/guowuyuan/gwycwhy/20160518C17/
2016.05.11 ,"
李克强主持召开国务院常务会议部署促进消费品工业增品种提品质创品牌 更好满足群众消费升级需求决定进一步精简投资项目报建审批 以改革营造更加便利的投资环境通过《长江三角洲城市群发展规划》 培育更高水平的经济增长极
2016.05.11 
",http://www.gov.cn/guowuyuan/gwycwhy/20160511c16/
2016.05.04 ,"
李克强主持召开国务院常务会议决定对促进民间投资政策落实情况开展专项督查 着力扩大民间投资部署推动制造业与互联网深度融合 加快“中国制造”转型升级确定培育和发展住房租赁市场的措施 推进新型城镇化满足群众住房需求部署促进通用航空业发展 以改革创新扩大有效内需
2016.05.04 
",http://www.gov.cn/guowuyuan/gwycwhy/20160504c15/
2016.04.27 ,"
李克强主持召开国务院常务会议部署加快中西部教育发展补“短板” 夯实发展基础促进社会公平确定推动文化文物单位文化创意产品开发的措施 提升社会文明水平和国家软实力通过《农田水利条例(草案)》
2016.04.27 
",http://www.gov.cn/premier/2016-04/27/content_5068532.htm
2016.04.20 ,"
李克强主持召开国务院常务会议部署开展交通基础设施扶贫 增强贫困地区脱贫致富能力决定建设一批大众创业万众创新示范基地 推动双创迈向更高层次和水平确定促进进出口回稳向好的政策措施 推进外贸转型升级
2016.04.20 
",http://www.gov.cn/guowuyuan/gwycwhy/20160420c13/
2016.04.13 ,"
李克强主持召开国务院常务会议听取山东济南非法经营疫苗系列案件调查处理情况汇报 决定先行对一批责任人实施问责通过《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》 强化制度监管决定阶段性降低企业社保缴费费率和住房公积金缴存比例 为市场主体减负增加职工现金收入
2016.04.13 
",http://www.gov.cn/guowuyuan/gwycwhy/20160413c12/
2016.04.06 ,"
李克强主持召开国务院常务会议决定实施《装备制造业标准化和质量提升规划》 引领中国制造升级部署推进“互联网+流通”行动 促进降成本扩内需增就业确定2016年深化医药卫生体制改革重点 让医改红利更多惠及人民群众
2016.04.06 
",http://www.gov.cn/guowuyuan/gwycwhy/20160406c11/
2016.03.30 ,"
李克强主持召开国务院常务会议决定新设一批国家自主创新示范区 部署推进上海加快建设科技创新中心通过《成渝城市群发展规划》 引领西部新型城镇化和农业现代化原则通过《中华人民共和国国防交通法(草案)》
2016.03.30 
",http://www.gov.cn/guowuyuan/gwycwhy/20160330c10/index.htm
2016.03.18 ,"
李克强主持召开国务院常务会议部署落实《政府工作报告》责任分工 确保实现全年发展主要目标任务确定今年经济体制改革重点工作 为促发展惠民生防风险提供保障部署全面推开营改增试点 进一步减轻企业税负
2016.03.18 
",http://www.gov.cn/guowuyuan/gwycwhy/20160318c9/
2016.02.24 ,"
李克强主持召开国务院常务会议确定进一步支持新能源汽车产业的措施 以结构优化推动绿色发展部署加强文物保护和合理利用 传承文化根脉凝聚民族精神
2016.02.24 
",http://www.gov.cn/guowuyuan/gwycwhy/20160224c8/
2016.02.17 ,"
李克强主持召开国务院常务会议听取2015年全国两会建议提案办理工作汇报汇聚众智提高公共决策水平确定支持科技成果转移转化的政策措施促进科技与经济深度融合
2016.02.17 
",http://www.gov.cn/guowuyuan/gwycwhy/20160217c7/
2016.02.14 ,"
李克强主持召开国务院常务会议部署推动医药产业创新升级 更好服务惠民生稳增长确定进一步促进中医药发展措施 发挥传统医学优势造福人民决定开展服务贸易创新发展试点 推进外贸转型增强服务业竞争力
2016.02.14 
",http://www.gov.cn/guowuyuan/gwycwhy/20160214c6/index.htm
2016.02.04 ,"
李克强主持召开国务院常务会议部署建设双创基地发展众创空间 加快培育新动能决定实施新一轮农村电网改造升级工程 以补短板调结构促稳增长惠民生等
2016.02.04 
",http://www.gov.cn/guowuyuan/gwycwhy/20160203c5/
2016.01.27 ,"
李克强主持召开国务院常务会议确定金融支持工业增效升级的措施 壮大实体经济基础决定推动《中国制造2025》与“互联网+”融合发展决定清理规范一批政府性基金收费项目 持续为企业减负部署全面加强农村留守儿童关爱保护
2016.01.27 
",http://www.gov.cn/guowuyuan/gwycwhy/20160127c4/index.htm
2016.01.22 ,"
李克强主持召开国务院常务会议部署深入推进以人为核心的新型城镇化 更大释放内需潜力确定进一步化解钢铁煤炭行业过剩产能的措施 促进企业脱困和产业升级
2016.01.22 
",http://www.gov.cn/guowuyuan/gwycwhy/20160120c3/
2016.01.13 ,"
李克强主持召开国务院常务会议决定再推出一批简政放权改革措施让市场活力更大释放确定完善高新技术企业认定办法使更多创新型企业得到政策支持
2016.01.13 
",http://www.gov.cn/guowuyuan/gwycwhy/20160113c2/
2016.01.06 ,"
李克强主持召开国务院常务会议决定根据督查情况完善激励和问责机制 以奖惩分明促勤政有为部署新设一批跨境电子商务综合试验区 用新模式为外贸发展提供新支撑
2016.01.06 
",http://www.gov.cn/guowuyuan/gwycwhy/20160106c1/index.htm
2015.12.23 ,"
李克强主持召开国务院常务会议部署推进农村一二三产业融合发展以结构性改革强农惠农确定进一步显著提高直接融资比重措施提升金融服务实体经济效率决定下调全国燃煤发电上网电价减轻企业负担促进结构优化
2015.12.23 
",http://www.gov.cn/guowuyuan/gwycwhy201540/index.htm
2015.12.16 ,"
李克强主持召开国务院常务会议决定深化“先照后证”改革开展“证照分离”试点着力缓解办证难激发“双创”活力核准一批水电核电等清洁能源重大项目以绿色发展促结构调整民生改善批准2015年度国家科学技术奖励评审结果通过《中华人民共和国澳门特别行政区行政区域图(草案)》
2015.12.16 
",http://www.gov.cn/guowuyuan/gwycwhy201539/index.htm
2015.12.09 ,"
李克强主持召开国务院常务会议部署促进中央企业增效升级 听取监事会对央企监督检查情况汇报确定改革完善知识产权制度的措施 保障和激励大众创业万众创新通过提请全国人大常委会授权国务院在实施股票发行注册制改革中调整适用《中华人民共和国证券法》有关规定的决定草案和《中医药法(草案)》
2015.12.09 
",http://www.gov.cn/guowuyuan/gwycwhy201538/
2015.12.02 ,"
李克强主持召开国务院常务会议听取人民币加入特别提款权情况和下一步金融改革开放相关工作汇报部署在多地开展金融改革创新试点 提升金融服务实体经济能力决定全面实施燃煤电厂超低排放和节能改造 大幅降低发电煤耗和污染排放通过《中华人民共和国人口与计划生育法修正案(草案)》和提请全国人大常委会授权国务院在部分行政区域暂时调整实施有关法律规定的决定草案
2015.12.02 
",http://www.gov.cn/guowuyuan/gwycwhy201537/
2015.11.18 ,"
李克强主持召开国务院常务会议确定改进公共服务措施 以持续简政放权便利群众办事创业部署加快企业技术升级改造 推动产业迈向中高端决定统一城乡义务教育经费保障机制 推进教育领域公共服务均等化
2015.11.18 
",http://www.gov.cn/guowuyuan/gwycwhy201536/
